layer,file,year,league,ERA_col,ER_col,IP_col,R_col,total_rows,era_numeric,era_equals_er,era_equals_r,era_calc_mismatch,era_too_high,suspicious,headers
staging,_data\master_csv__rescrape_staging\pitching_1968_CL_from_master.csv,1968,CL,ERA,ER,IP,R,90,90,7,6,21,2,3,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1968_PL_from_master.csv,1968,PL,ERA,ER,IP,R,83,83,5,3,20,2,4,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1969_CL_from_master.csv,1969,CL,ERA,ER,IP,R,88,88,5,2,20,2,5,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1969_PL_from_master.csv,1969,PL,ERA,ER,IP,R,81,81,6,6,18,0,0,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1970_CL_from_master.csv,1970,CL,ERA,ER,IP,R,79,78,6,4,14,0,3,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1970_PL_from_master.csv,1970,PL,ERA,ER,IP,R,92,92,8,6,22,2,4,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1971_CL_from_master.csv,1971,CL,ERA,ER,IP,R,82,81,5,4,15,1,2,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1971_PL_from_master.csv,1971,PL,ERA,ER,IP,R,80,80,6,5,17,2,2,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1972_CL_from_master.csv,1972,CL,ERA,ER,IP,R,92,91,4,3,20,2,2,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1972_PL_from_master.csv,1972,PL,ERA,ER,IP,R,84,84,2,1,20,2,2,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1973_CL_from_master.csv,1973,CL,ERA,ER,IP,R,87,87,11,11,16,0,2,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1973_PL_from_master.csv,1973,PL,ERA,ER,IP,R,90,90,6,3,23,1,2,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1974_CL_from_master.csv,1974,CL,ERA,ER,IP,R,91,91,7,5,20,1,2,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1974_PL_from_master.csv,1974,PL,ERA,ER,IP,R,89,89,6,6,14,2,3,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1975_CL_from_master.csv,1975,CL,ERA,ER,IP,R,78,78,2,1,15,0,0,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1975_PL_from_master.csv,1975,PL,ERA,ER,IP,R,72,72,0,0,16,0,0,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1976_CL_from_master.csv,1976,CL,ERA,ER,IP,R,88,88,3,3,24,1,1,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1976_PL_from_master.csv,1976,PL,ERA,ER,IP,R,76,76,6,4,10,1,1,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1977_CL_from_master.csv,1977,CL,ERA,ER,IP,R,96,96,2,2,26,2,2,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1977_PL_from_master.csv,1977,PL,ERA,ER,IP,R,75,75,0,0,17,2,2,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1978_CL_from_master.csv,1978,CL,ERA,ER,IP,R,84,84,1,1,23,2,2,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1978_PL_from_master.csv,1978,PL,ERA,ER,IP,R,80,80,4,4,18,1,2,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1979_CL_from_master.csv,1979,CL,ERA,ER,IP,R,87,87,5,3,17,2,2,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1979_PL_from_master.csv,1979,PL,ERA,ER,IP,R,80,80,2,2,18,1,1,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
