npb_player_id,name_ja,gurazeni_id,baseballinfo_slug,match_method,confidence
31335139,岩崎 優,919,,gurazeni_team_2026,high
31335151,井上 広大,1788,,gurazeni_search,high
31335152,伊藤 樹,2864,,gurazeni_team_2026,high
31335157,入山 海斗,2333,,gurazeni_team_2026,high
31335159,井上 絢登,2458,,gurazeni_team_2026,high
31435138,野村 佑希,1652,,gurazeni_team_2026,high
31435155,豊田 寛,2220,,gurazeni_team_2026,high
31435157,奈良間 大己,2281,,gurazeni_team_2026,high
31435159,常廣 羽也斗,2523,,gurazeni_team_2026,high
31535132,愛斗,1220,,gurazeni_team_2026,high
31535138,小幡 竜平,1661,,gurazeni_team_2026,high
31635110,涌井 秀章,523,,gurazeni_team_2026,high
31635134,畠 世周,1420,,gurazeni_team_2026,high
31635138,藤原 恭大,1720,,gurazeni_team_2026,high
31635150,中込 陽翔,2710,,gurazeni_team_2026,high
31635152,早瀬 朔,2814,,gurazeni_team_2026,high
31635153,中森 俊介,2004,,gurazeni_team_2026,high
31635157,橋本 達弥,2348,,gurazeni_team_2026,high
31635159,西舘 勇陽,2475,,gurazeni_team_2026,high
31735132,木下 拓哉,1302,,gurazeni_team_2026,high
31735134,九鬼 隆平,1347,,gurazeni_team_2026,high
31735138,木浪 聖也,1688,,gurazeni_team_2026,high
31735151,奥川 恭伸,1855,,gurazeni_team_2026,high
31735152,川田 悠慎,2804,,gurazeni_team_2026,high
31735155,菊地 大稀,2172,,gurazeni_search,high
31735157,古賀 康誠,2292,,gurazeni_team_2026,high
31835133,柳田 悠岐,643,,gurazeni_team_2026,high
31835134,細川 成也,1452,,gurazeni_team_2026,high
31835138,水谷 瞬,1728,,gurazeni_team_2026,high
31835152,堀越 啓太,2783,,gurazeni_team_2026,high
31835153,早川 隆久,1991,,gurazeni_team_2026,high
31835157,船迫 大雅,2324,,gurazeni_team_2026,high
31835159,福田 幸之介,2564,,gurazeni_team_2026,high
31935138,島内 颯太郎,1698,,gurazeni_team_2026,high
31935139,関根 大気,924,,gurazeni_team_2026,high
31935150,今朝丸 裕喜,2638,,gurazeni_team_2026,high
31935155,小園 健太,2107,,gurazeni_team_2026,high
33135134,三森 大貴,1349,,gurazeni_team_2026,high
33135150,麦谷 祐介,2681,,gurazeni_team_2026,high
33135151,森 敬斗,1793,,gurazeni_team_2026,high
33135152,皆川 岳飛,2825,,gurazeni_team_2026,high
33135155,松浦 慶斗,2199,,gurazeni_team_2026,high
33135159,又木 鉄平,2514,,gurazeni_team_2026,high
33235155,Ｈ．マルセリーノ,2243,,gurazeni_team_2026,high
33335134,山﨑 颯一郎,1400,,gurazeni_team_2026,high
33335136,和田 康士朗,1606,,gurazeni_team_2026,high
33335150,山中 稜真,2667,,gurazeni_team_2026,high
33335153,元山 飛優,1992,,gurazeni_team_2026,high
33335155,椋木 蓮,2106,,gurazeni_team_2026,high
33435157,Ｄ．ヘルナンデス,2440,,gurazeni_team_2026,high
33535153,山本 大斗,1965,,gurazeni_team_2026,high
33535157,吉野 光樹,2359,,gurazeni_team_2026,high
33535159,度会 隆輝,2515,,gurazeni_team_2026,high
33935152,林 安可,2898,,gurazeni_team_2026,high
37035159,牧野 憲伸,2843,,gurazeni_team_2026,high
41045136,田嶋 大樹,1581,,gurazeni_team_2026,high
41045137,藤浪 晋太郎,309,,gurazeni_team_2026,high
41045138,戸郷 翔征,1687,,gurazeni_team_2026,high
41045150,篠木 健太郎,2688,,gurazeni_team_2026,high
41045153,佐藤 輝明,1935,,gurazeni_team_2026,high
41045159,髙 太一,2540,,gurazeni_team_2026,high
41145134,石垣 勝海,1481,,gurazeni_team_2026,high
41145138,伊藤 裕季也,1680,,gurazeni_team_2026,high
41145151,伊勢 大夢,1800,,gurazeni_team_2026,high
41145152,石井 巧,2823,,gurazeni_team_2026,high
41145153,石井 大智,1942,,gurazeni_team_2026,high
41145155,池田 陵真,2153,,gurazeni_team_2026,high
41145157,井坪 陽生,2337,,gurazeni_team_2026,high
41145159,石原 勇輝,2535,,gurazeni_team_2026,high
41245130,外崎 修汰,1083,,gurazeni_team_2026,high
41245132,戸柱 恭孝,1317,,gurazeni_team_2026,high
41245138,生田目 翼,1679,,gurazeni_team_2026,high
41245150,高橋 幸佑,2696,,gurazeni_team_2026,high
41245151,玉村 昇悟,1823,,gurazeni_team_2026,high
41245153,髙寺 望夢,1980,,gurazeni_team_2026,high
41245157,仲地 礼亜,2270,,gurazeni_team_2026,high
41345132,上原 健太,1190,,gurazeni_team_2026,high
41345136,大竹 耕太郎,1560,,gurazeni_team_2026,high
41345153,入江 大樹,1961,,gurazeni_team_2026,high
41345159,大内 誠弥,2520,,gurazeni_team_2026,high
41445116,宮西 尚生,461,,gurazeni_team_2026,high
