player_id,name_ja,status,roman_skipped,roman_short,birth_date_raw,pro_debut_raw,career_raw,network
1103840,神垣　雅行,ok,True,M.Kamigaki,1952年4月2日,1974年ドラフト2位,北陽高 - 近畿大,0
1103841,池島　和彦,ok,True,K.Ikejima,1947年2月9日,1969年ドラフト7位,島上高 - 明治大 - 三協精機,0
1103842,W.ウイリアムス,ok,True,W.Williams,1943年12月19日,,サンフランシスコ市大 - コルト45s - ホワイトソックス - インディアンス - ヤンキース,0
1103843,淡口　憲治,ok,True,K.Awaguchi,1952年4月5日,1970年ドラフト3位,三田学園高,0
1103844,大宮　龍男,ok,True,T.Oomiya,1954年6月19日,1976年ドラフト4位,享栄高 - 駒沢大,0
1103845,上田　容三,ok,True,Y.Ueda,1950年6月14日,1971年ドラフト9位,智弁学園高 - 松下電器,0
1103846,石井　昭男,ok,True,A.Ishii,1955年9月26日,1977年ドラフト3位,東海大相模高 - 東海大,0
1103847,井上　圭一,ok,True,K.Inoue,1951年10月4日,1971年ドラフト1位,吉原工 - 三菱自動車川崎,0
1103848,大河原　栄,ok,True,S.Ookawara,1953年6月6日,1978年ドラフト外,早鞆高 - 新日鉄八幡,0
1103849,池谷　公二郎,ok,True,K.Ikegaya,1952年6月28日,1972年ドラフト1位,静岡商 - 金指造船 - 日本楽器,0
1103860,井上　真二,ok,True,S.Inoue,1966年7月12日,1984年ドラフト5位,熊本工,0
1103861,牛島　和彦,ok,True,K.Ushijima,1961年4月13日,1979年ドラフト1位,浪商高,0
1103862,伊藤　史生,ok,True,F.Itou,1965年12月20日,1983年ドラフト外,峡南高,0
1103863,井上　祐二,ok,True,Y.Inoue,1963年3月2日,1980年ドラフト2位,都城高,0
1103864,猪俣　隆,ok,True,T.Inomata,1964年6月27日,1986年ドラフト1位,堀越高 - 法政大,0
1103865,今井　譲二,ok,True,J.Imai,1956年11月1日,1978年ドラフト外,熊本・鎮西高 - 中央大,0
1103866,高島　覚,ok,True,S.Takashima,1965年1月7日,1987年ドラフト外,一関商工 - 新日鉄釜石,0
1103867,井上　卓也,ok,True,T.Inoue,1957年4月2日,1979年ドラフト外,三瓶高 - 国士舘大 - 山本鋼材,0
1103868,中嶋　治彦,ok,True,H.Nakajima,1965年11月30日,1988年ドラフト4位,日南学園高 - 王子製紙苫小牧,0
1103869,有沢　賢持,ok,True,K.Arisawa,1950年7月27日,1978年ドラフト3位,北日本学院高 - 大昭和製紙北海道 - 日産サニー札幌,0
1103872,浅原　直人,ok,True,N.Asahara,1916年4月8日,,愛知一中 - 愛知県警,0
1103878,井筒　研一,ok,False,K.Izutsu,1919年11月28日,,明石中,0
1103881,有倉　雅史,ok,True,M.Arikura,1967年6月12日,1989年ドラフト6位,北海高 - 日本体育大,0
1103882,石井　弘寿,ok,True,H.Ishii,1977年9月14日,1995年ドラフト4位,東京学館高,0
1103883,元木　大介,ok,True,D.Motoki,1971年12月30日,1990年ドラフト1位,上宮高,0
1103884,礒部　公一,ok,True,K.Isobe,1974年3月12日,1996年ドラフト3位,西条農 - 三菱重工広島,0
1103885,井手元　健一朗,ok,True,K.Idemoto,1973年10月2日,1991年ドラフト5位,四日市工,0
1103886,井川　慶,ok,True,K.Igawa,1979年7月13日,1997年ドラフト2位,水戸商,0
1103888,新井　貴浩,ok,True,T.Arai,1977年1月30日,1998年ドラフト6位,広島工 - 駒沢大,0
1103889,宇佐美　康広,ok,True,Y.Usami,1975年12月18日,1993年ドラフト6位,稚内大谷高,0
1103892,今西　錬太郎,ok,True,R.Imanishi,1924年9月14日,,浪華商 - 日鉄二瀬,0
1103894,池田　善蔵,ok,True,Z.Ikeda,1923年11月15日,,尾道商 - 慶応大,0
1103898,内尾　勇,ok,True,I.Uchio,1927年2月1日,,ロサンゼルス高 - 三井三池,0
1105110,市川　卓,ok,True,S.Ichikawa,1986年6月7日,2004年ドラフト5巡目,菰野高,0
1105111,岩隈　久志,ok,True,H.Iwakuma,1981年4月12日,1999年ドラフト5位,堀越高,0
1105112,新井　良太,ok,True,R.Arai,1983年8月16日,2005年大学生・社会人ドラフト4巡目,広陵高 - 駒沢大,0
1105113,東　和政,ok,True,K.Azuma,1982年6月1日,2000年ドラフト4位,宿毛高,0
1105115,天谷　宗一郎,ok,True,S.Amaya,1983年11月8日,2001年ドラフト9巡目,福井商,0
1105117,飯田　龍一郎,ok,True,R.Iida,1985年3月15日,2002年ドラフト7巡目,育英高,0
1105118,井坂　亮平,ok,True,R.Isaka,1984年10月19日,2008年ドラフト3位,藤代高 - 中央大 - 住友金属鹿島,0
1105119,稲田　直人,ok,True,N.Inada,1979年11月6日,2003年ドラフト5巡目,広陵高 - 駒沢大 - NKK - JFE西日本,0
1105130,飯塚　悟史,ok,True,S.Iizuka,1996年10月11日,2014年ドラフト7位,日本文理高,0
1105131,荒木　貴裕,ok,True,T.Araki,1987年7月26日,2009年ドラフト3位,帝京三高 - 近畿大,0
