file,name,team,old_player_id,new_player_id,roman_name
public\data\rankings\pitching\2008\PL\HLD_all.json,宮西 尚生,北海道日本ハムファイターズ,player-69,41445116,N.Miyanishi
public\data\rankings\pitching\2008\PL\K-BB％_all.json,宮西 尚生,北海道日本ハムファイターズ,player-69,41445116,N.Miyanishi
public\data\rankings\pitching\2008\PL\K％_all.json,宮西 尚生,北海道日本ハムファイターズ,player-69,41445116,N.Miyanishi
public\data\rankings\pitching\2008\PL\WHIP_all.json,宮西 尚生,北海道日本ハムファイターズ,player-69,41445116,N.Miyanishi
public\data\rankings\pitching\2008\PL\三振.json,宮西 尚生,北海道日本ハムファイターズ,player-69,41445116,N.Miyanishi
public\data\rankings\pitching\2008\PL\三振_all.json,宮西 尚生,北海道日本ハムファイターズ,player-69,41445116,N.Miyanishi
public\data\rankings\pitching\2008\PL\勝利.json,宮西 尚生,北海道日本ハムファイターズ,player-69,41445116,N.Miyanishi
public\data\rankings\pitching\2008\PL\勝利_all.json,宮西 尚生,北海道日本ハムファイターズ,player-69,41445116,N.Miyanishi
public\data\rankings\pitching\2008\PL\勝率_all.json,宮西 尚生,北海道日本ハムファイターズ,player-69,41445116,N.Miyanishi
public\data\rankings\pitching\2008\PL\四球.json,宮西 尚生,北海道日本ハムファイターズ,player-69,41445116,N.Miyanishi
public\data\rankings\pitching\2008\PL\四球_all.json,宮西 尚生,北海道日本ハムファイターズ,player-69,41445116,N.Miyanishi
public\data\rankings\pitching\2008\PL\回数.json,宮西 尚生,北海道日本ハムファイターズ,player-69,41445116,N.Miyanishi
public\data\rankings\pitching\2008\PL\回数_all.json,宮西 尚生,北海道日本ハムファイターズ,player-69,41445116,N.Miyanishi
public\data\rankings\pitching\2008\PL\失点.json,宮西 尚生,北海道日本ハムファイターズ,player-69,41445116,N.Miyanishi
public\data\rankings\pitching\2008\PL\失点_all.json,宮西 尚生,北海道日本ハムファイターズ,player-69,41445116,N.Miyanishi
public\data\rankings\pitching\2008\PL\完封.json,宮西 尚生,北海道日本ハムファイターズ,player-69,41445116,N.Miyanishi
public\data\rankings\pitching\2008\PL\完封_all.json,宮西 尚生,北海道日本ハムファイターズ,player-69,41445116,N.Miyanishi
