year,league,team,player_id,player_name_ja,player_name_en,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,OBP,SLG,OPS,1B,IsoP,IsoD,IOPS,BB%,K%,BB/K,BABIP,GPA,NOI,SecA,TA,打率,安打,本塁打,打点,試合,打席,打数,単打,二塁打,三塁打,得点,出塁率,長打率,四球,敬遠,死球,三振,塁打,盗塁,盗塁死,犠打,犠飛,併殺打,RC,XR,K,GIDP
2025,PL,埼玉西武ライオンズ,71075155,菅井　信也,Sugai Shinya,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,nan,0.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,nan,0.0,,
2025,PL,オリックス・バファローズ,71175136,東　晃平,Azuma Kouhei,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,-0.5239999999999996,-0.47400000000000003,,
2025,PL,福岡ソフトバンクホークス,71175153,秋広　優人,Akihiro Yuuto,22.0,59.0,53.0,4.0,11.0,2.0,0.0,1.0,16.0,4.0,0.0,0,0.0,0.0,5.0,0,1.0,16.0,1.0,0.208,0.288,0.302,0.59,8.0,0.094,0.07999999999999999,0.382,8.47457627118644,27.11864406779661,0.3125,0.2777777777777778,0.2051,388.6666666666667,0.18867924528301888,0.5116279069767442,0.208,11.0,1.0,4.0,22.0,59.0,53.0,8.0,2.0,0.0,4.0,0.288,0.302,5.0,0,1.0,,16.0,0.0,0,0.0,0.0,,4.502651600753289,4.641999999999999,,
2025,PL,千葉ロッテマリーンズ,71275132,茶谷　健太,Chatani Kenta,43.0,41.0,36.0,3.0,8.0,2.0,0.0,0.0,10.0,2.0,0.0,0,2.0,0.0,3.0,0,0.0,9.0,0.0,0.222,0.282,0.278,0.56,6.0,0.05600000000000002,0.05999999999999997,0.3379999999999999,7.317073170731707,21.951219512195124,0.3333333333333333,0.2962962962962963,0.1964,374.66666666666663,0.1388888888888889,0.4642857142857143,0.222,8.0,0.0,2.0,43.0,41.0,36.0,6.0,2.0,0.0,3.0,0.282,0.278,3.0,0,0.0,,10.0,0.0,0,2.0,0.0,,2.9969051490514858,2.947999999999999,,
2025,PL,千葉ロッテマリーンズ,71275134,種市　篤暉,Taneichi Atsuki,24.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0,1.0,0.0,,-0.06666666666666665,-0.058,,
2025,PL,千葉ロッテマリーンズ,71275153,鈴木　昭汰,Suzuki Shouta,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,nan,0.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,nan,0.0,,
2025,PL,千葉ロッテマリーンズ,71275157,友杉　篤輝,Tomosugi Atsuki,116.0,319.0,278.0,28.0,64.0,11.0,2.0,1.0,82.0,15.0,7.0,0,21.0,2.0,15.0,0,3.0,45.0,3.0,0.23,0.275,0.295,0.5700000000000001,50.0,0.06499999999999997,0.04500000000000001,0.3399999999999999,4.702194357366771,14.106583072100312,0.3333333333333333,0.2692307692307692,0.1975,373.33333333333337,0.14388489208633093,0.4930875576036866,0.23,64.0,1.0,15.0,116.0,319.0,278.0,50.0,11.0,2.0,28.0,0.275,0.295,15.0,0,3.0,,82.0,7.0,0,21.0,2.0,,24.440020898641592,24.66999999999999,,
2025,PL,福岡ソフトバンクホークス,71375134,大江　竜聖,Ooe Ryuusei,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,nan,0.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,nan,0.0,,
2025,PL,東北楽天ゴールデンイーグルス,71375138,太田　光,Oota Hikaru,111.0,231.0,188.0,14.0,33.0,7.0,2.0,1.0,47.0,12.0,0.0,0,14.0,1.0,23.0,0,5.0,47.0,6.0,0.176,0.281,0.25,0.531,23.0,0.07400000000000001,0.10500000000000004,0.355,9.956709956709958,20.346320346320347,0.48936170212765956,0.22695035460992907,0.18895,364.3333333333333,0.19680851063829788,0.4658385093167702,0.176,33.0,1.0,12.0,111.0,231.0,188.0,23.0,7.0,2.0,14.0,0.281,0.25,23.0,0,5.0,,47.0,0.0,0,14.0,1.0,,13.060994708994713,13.963999999999999,,
2025,PL,千葉ロッテマリーンズ,71375159,上田　希由翔,Ueda Kyuuto,66.0,184.0,166.0,18.0,35.0,11.0,0.0,3.0,55.0,20.0,0.0,0,1.0,1.0,15.0,0,1.0,36.0,3.0,0.211,0.279,0.331,0.6100000000000001,21.0,0.12000000000000002,0.06800000000000003,0.399,8.152173913043478,19.565217391304348,0.4166666666666667,0.25,0.20830000000000004,389.33333333333337,0.21084337349397592,0.5298507462686567,0.211,35.0,3.0,20.0,66.0,184.0,166.0,21.0,11.0,0.0,18.0,0.279,0.331,15.0,0,1.0,,55.0,0.0,0,1.0,1.0,,15.084869565217389,15.402000000000003,,
