npb_player_id,name_ja,name_en,name_en_full,name_en_short,team,team_code,position,uniform_no,throw_hand,bat_hand,is_new_2026
01605138,増田 陸,Masuda Riku,Masuda Riku,R.Masuda,読売ジャイアンツ,G,内野手,,R,R,0
21625152,藤井 健翔,Fujii Kensho,Fujii Kensho,K.Fujii,読売ジャイアンツ,G,内野手,,R,R,0
21425116,丸 佳浩,Maru Yoshihiro,Maru Yoshihiro,Y.Maru,読売ジャイアンツ,G,外野手,,R,L,0
21625135,松本 剛,Matsumoto Go,Matsumoto Go,G.Matsumoto,読売ジャイアンツ,G,外野手,,R,R,0
81485157,萩尾 匡也,Hagio Masaya,Hagio Masaya,M.Hagio,読売ジャイアンツ,G,外野手,,R,R,0
73575150,Ｔ．キャベッジ,Trey Cabbage,Trey Cabbage,T.Cabbage,読売ジャイアンツ,G,外野手,,R,L,0
81385155,岡田 悠希,Okada Yuki,Okada Yuki,Y.Okada,読売ジャイアンツ,G,外野手,,R,L,0
33135152,皆川 岳飛,Minakawa Gakuto,Minakawa Gakuto,G.Minakawa,読売ジャイアンツ,G,外野手,,R,L,0
51655153,中山 礼都,Nakayama Raito,Nakayama Raito,R.Nakayama,読売ジャイアンツ,G,外野手,,R,L,0
51955159,佐々木 俊輔,Sasaki Shunsuke,Sasaki Shunsuke,S.Sasaki,読売ジャイアンツ,G,外野手,,R,L,0
91195157,浅野 翔吾,Asano Shogo,Asano Shogo,S.Asano,読売ジャイアンツ,G,外野手,,R,R,0
53555153,若林 楽人,Wakabayashi Gakuto,Wakabayashi Gakuto,G.Wakabayashi,読売ジャイアンツ,G,外野手,,R,R,0
13115157,三塚 琉生,Mitsuka Rui,Mitsuka Rui,R.Mitsuka,読売ジャイアンツ,G,外野手,,L,L,0
91595153,内山 壮真,Uchiyama Souma,Uchiyama Souma,S.Uchiyama,東京ヤクルトスワローズ,S,内野手,3,R,R,0
41545153,大道 温貴,Ohmichi Haruki,Ohmichi Haruki,H.Ohmichi,東京ヤクルトスワローズ,S,投手,,R,R,0
21125137,石山 泰稚,Ishiyama Taichi,Ishiyama Taichi,T.Ishiyama,東京ヤクルトスワローズ,S,投手,,R,R,0
91695150,中村 優斗,Nakamura Yuto,Nakamura Yuto,Y.Nakamura,東京ヤクルトスワローズ,S,投手,,R,L,0
51955138,清水 昇,Shimizu Noboru,Shimizu Noboru,N.Shimizu,東京ヤクルトスワローズ,S,投手,,R,L,0
31735151,奥川 恭伸,Okugawa Yasunobu,Okugawa Yasunobu,Y.Okugawa,東京ヤクルトスワローズ,S,投手,,R,R,0
